cutoff_strucaware,recall_strucfree,fpr_strucfree
0,0.992857142857143,1
0.01,0.992857142857143,0.990450204638472
0.02,0.992857142857143,0.978171896316507
0.03,0.992857142857143,0.96944065484311
0.04,0.992857142857143,0.959345156889495
0.05,0.992857142857143,0.944611186903138
0.06,0.985714285714286,0.930422919508868
0.07,0.985714285714286,0.917598908594816
0.08,0.978571428571429,0.9075034106412
0.09,0.978571428571429,0.89549795361528
0.1,0.978571428571429,0.880491132332879
0.11,0.978571428571429,0.869577080491132
0.12,0.978571428571429,0.85675306957708
0.13,0.978571428571429,0.842837653478854
0.14,0.978571428571429,0.828649386084584
0.15,0.964285714285714,0.815552523874488
0.16,0.964285714285714,0.799454297407913
0.17,0.964285714285714,0.783083219645293
0.18,0.957142857142857,0.765075034106412
0.19,0.95,0.750068212824011
0.2,0.935714285714286,0.730695770804911
0.21,0.935714285714286,0.716780354706685
0.22,0.928571428571429,0.702864938608458
0.23,0.914285714285714,0.688676671214188
0.24,0.907142857142857,0.668485675306958
0.25,0.885714285714286,0.652114597544338
0.26,0.864285714285714,0.635743519781719
0.27,0.864285714285714,0.619099590723056
0.28,0.857142857142857,0.600818553888131
0.29,0.857142857142857,0.583628922237381
0.3,0.857142857142857,0.56643929058663
0.31,0.835714285714286,0.5462482946794
0.32,0.814285714285714,0.527421555252387
0.33,0.807142857142857,0.506412005457026
0.34,0.8,0.489768076398363
0.35,0.8,0.466302864938609
0.36,0.778571428571429,0.446657571623465
0.37,0.771428571428571,0.424283765347886
0.38,0.728571428571429,0.407094133697135
0.39,0.714285714285714,0.389631650750341
0.4,0.685714285714286,0.372442019099591
0.41,0.664285714285714,0.351159618008186
0.42,0.657142857142857,0.331514324693042
0.43,0.65,0.316234652114598
0.44,0.635714285714286,0.30150068212824
0.45,0.614285714285714,0.283765347885402
0.46,0.6,0.268758526603001
0.47,0.592857142857143,0.254570259208731
0.48,0.578571428571429,0.239290586630286
0.49,0.571428571428571,0.219918144611187
0.5,0.564285714285714,0.203819918144611
0.51,0.564285714285714,0.190450204638472
0.52,0.55,0.178990450204639
0.53,0.535714285714286,0.164802182810368
0.54,0.521428571428571,0.15225102319236
0.55,0.492857142857143,0.138335607094134
0.56,0.485714285714286,0.128240109140518
0.57,0.464285714285714,0.114597544338336
0.58,0.45,0.105320600272851
0.59,0.45,0.097953615279673
0.6,0.442857142857143,0.089222373806276
0.61,0.435714285714286,0.081036834924966
0.62,0.435714285714286,0.072578444747613
0.63,0.428571428571429,0.066302864938609
0.64,0.421428571428571,0.059754433833561
0.65,0.414285714285714,0.054297407912688
0.66,0.392857142857143,0.050204638472033
0.67,0.385714285714286,0.043656207366985
0.68,0.378571428571429,0.03956343792633
0.69,0.371428571428571,0.036834924965894
0.7,0.364285714285714,0.030286493860846
0.71,0.35,0.025648021828104
0.72,0.342857142857143,0.021828103683493
0.73,0.321428571428572,0.020190995907231
0.74,0.314285714285714,0.017735334242838
0.75,0.307142857142857,0.015006821282401
0.76,0.3,0.013096862210096
0.77,0.285714285714286,0.010641200545703
0.78,0.278571428571429,0.007912687585266
0.79,0.264285714285714,0.006275579809004
0.8,0.257142857142857,0.004092769440655
0.81,0.25,0.003274215552524
0.82,0.221428571428571,0.002182810368349
0.83,0.221428571428571,0.002182810368349
0.84,0.207142857142857,0.001637107776262
0.85,0.207142857142857,0.001091405184175
0.86,0.207142857142857,0.000818553888131
0.87,0.192857142857143,0.000818553888131
0.88,0.192857142857143,0.000545702592087
0.89,0.192857142857143,0.000272851296044
0.9,0.171428571428572,0.000272851296044
0.91,0.157142857142857,0.000272851296044
0.92,0.142857142857143,0.000272851296044
0.93,0.142857142857143,0
0.94,0.128571428571429,0
0.95,0.121428571428571,0
0.96,0.107142857142857,0
0.97,0.092857142857143,0
0.98,0.085714285714286,0
0.99,0,0
